,FLWS,SRCE,FOXA,FOX,TWOU,DDD,MMM,SIXD,EGHT,AVHI,ATEN,AAC,AAON,AIR,AAN,ABAX,ABT,ABBV,ABY,ABEO,ANF,ABMD,ABM,AXAS,ACTG,ACHC,ACAD,AKR,AXDX,XLRN,ACN,ANCX,ACCO,ARAY,ACW,ACE,ACET,ACHN,ACIW,ACOR,ATVI,ACTA,ATU,AYI,ACXM,ADMS,AE,ADUS,ADPT
20130820,6.09,26.118394,31.226819,31.317501,NA,47.41,109.372989,5.184449,9.21,16.01,NA,NA,15.915142,24.645693,27.812314,40.544002,33.104275,39.94196,NA,16.5,45.621192,22.379999,24.322229,2.61,19.895677,37.98,19.860001,22.441484,8.64,NA,68.693022,13.489529,6.7,6.05,5.23,86.247584,15.587165,6.8,16.396669,34.91,16.422379,12.56,36.057658,85.187549,25.17,NA,62.492306,21.459999,NA
20130821,6.09,25.985428,30.79597,30.876963,NA,48.52,108.072352,5.184449,9.2,16.190001,NA,NA,15.8561,24.489646,27.633456,40.336592,33.037514,39.32847,NA,17,44.022098,22.23,23.922412,2.56,20.160465,37.75,20.18,22.100763,8.64,NA,69.311786,13.891419,6.53,6.23,5.22,86.170438,15.236454,6.76,16.219999,33.759998,16.255704,12.53,36.077569,84.800875,24.809999,NA,62.202726,20.280001,NA
20130822,6.25,26.298849,31.41287,31.47414,NA,48.459999,109.263415,5.184449,9.32,16.209999,NA,NA,16.308756,25.045564,27.663266,40.820553,33.066125,39.895481,NA,17,36.242979,22.440001,24.188957,2.59,20.151334,37.950001,20.469999,22.229683,8.82,NA,70.539808,13.935103,6.64,6.25,5.4,87.366176,15.684585,6.76,16.446671,34.540001,16.471401,12.74,36.824207,86.228601,25.15,NA,67.087047,21.18,NA
20130823,6.14,26.270355,31.520579,31.572036,NA,48.439999,109.006149,5.184449,9.35,16.26,NA,NA,16.105395,25.201611,27.732822,40.790921,33.228262,40.369544,NA,16.5,36.384077,22.43,24.579255,2.56,20.096551,38,20.629999,22.358606,8.89,NA,70.454136,13.97005,6.62,6.29,5.58,87.211891,15.56768,6.66,16.446671,34.360001,16.392965,12.9,36.435952,86.020393,25.34,NA,65.899748,20.969999,NA
20130826,6.04,26.070907,31.41287,31.503508,NA,51.900002,108.939449,5.184449,9.34,16.360001,NA,NA,16.033225,25.182104,27.891806,40.741538,32.923066,40.388135,NA,16.5,35.537496,23.190001,24.388867,2.62,20.553083,38.470001,20.9,22.294144,10.24,NA,70.18759,13.541949,6.72,6.33,5.54,86.556162,15.499487,6.58,16.389999,34.66,16.236095,12.79,36.286626,87.150674,25.82,NA,64.712456,21.030001,NA
20130827,5.75,25.06416,30.942851,30.984649,NA,49.389999,107.414889,5.184449,9.09,16.049999,NA,NA,15.350964,24.53841,27.79244,40.119302,32.436657,39.625919,NA,17,33.844339,22.43,23.827218,2.57,19.585235,37.259998,19.959999,22.091554,10.06,NA,68.769173,12.974062,6.52,6.1,5.2,85.292915,14.651935,6.42,16.25667,33.48,15.883138,12.45,35.370748,84.225817,24.870001,NA,62.357167,20.440001,NA
20130828,5.81,24.693754,30.913474,30.994439,NA,50.43,107.672156,5.184449,9.2,16.1,NA,NA,15.469049,24.909023,27.891806,39.319289,32.188687,39.560852,NA,17,34.013655,22.620001,23.436921,2.62,19.548712,37.5,20.110001,21.870547,9.5,NA,68.969082,12.423647,6.5,6.65,5.23,84.801124,15.207227,6.41,16.34333,34.049999,16.06942,12.56,35.500166,85.475078,24.92,NA,61.671818,20.93,NA
20130829,5.52,24.598778,30.766593,30.847593,NA,52.91,107.977068,5.184449,9.32,16.280001,NA,NA,15.71178,25.13334,27.680031,38.697054,32.169612,39.616622,NA,17,34.004198,23.639999,23.617789,2.62,20.014375,38.279999,20.469999,21.796877,9.95,NA,69.226114,12.310069,6.63,6.74,5.32,85.109702,14.992905,6.52,16.613331,34.509998,16.422379,12.8,36.087522,87.081271,25.370001,NA,60.393244,22.290001,NA
20130830,5.44,24.465812,30.678465,30.730114,NA,51.400002,108.224811,5.184449,9.25,16.08,NA,NA,15.298485,24.47014,26.914455,38.697054,31.788118,39.607328,NA,16,33.398839,23.549999,22.989505,2.52,20.060027,38.330002,19.959999,21.483783,9.51,NA,68.778694,11.881969,6.59,6.62,5.24,84.588976,14.320708,6.45,16.22333,33.790001,16.00079,12.52,35.559899,84.771132,24.879999,NA,58.901577,21.18,NA
20130903,5.28,24.570286,31.050562,31.121707,NA,52.939999,107.881784,5.184449,9.74,16.17,NA,NA,15.915142,24.879764,26.636065,38.776065,31.406621,39.588737,NA,18,33.039405,24.01,23.408362,2.58,20.251772,37.810001,20.530001,21.299609,9.83,NA,69.568818,12.047967,6.63,6.56,5.28,85.128985,15.041614,6.58,16.33,34.93,16.64788,12.91,35.589763,83.710254,24.83,NA,59.259964,21.33,NA
